Product_ID,Product_Name,Category,Supplier_ID,Unit_Cost,Selling_Price,Stock_Quantity,Reorder_Level,Warehouse,Weight_KG,Status
PR001,Laptop Circuit Board,Electronics,S001,2500,4500,150,50,Mumbai,0.5,Active
PR002,Steel Frame A,Raw Materials,S006,800,1200,500,100,Pune,5.2,Active
PR003,Precision Bearing X1,Mechanical,S008,450,750,300,80,Delhi,0.8,Active
PR004,Copper Wire 2mm,Electronics,S009,120,200,1000,200,Chennai,0.1,Active
PR005,Polymer Sheet B,Raw Materials,S007,350,,200,60,Mumbai,2.1,Inactive
PR006,Circuit Chip V2,Electronics,S005,180,320,800,150,Mumbai,0.05,Active
PR007,Steel Bolt M10,Mechanical,S010,15,28,5000,1000,Pune,0.02,Active
PR008,Aluminum Frame,Raw Materials,S006,,900,120,40,Delhi,3.5,Active
PR009,Power Cable 5m,Electronics,S009,250,420,400,100,Chennai,0.3,Active
PR010,Precision Tool Set,Tools,S003,3500,5800,80,20,Mumbai,2.8,Active
PR011,Plastic Casing A,Raw Materials,S007,200,350,300,75,Pune,0.4,Inactive
PR012,Motor Assembly,Mechanical,S002,1800,3200,100,30,Delhi,4.2,Active
PR013,Control Board V3,Electronics,S001,3200,5500,60,20,Mumbai,0.6,Active
PR014,Rubber Gasket,Mechanical,S008,45,85,2000,500,Pune,0.05,Active
PR015,LED Panel 12W,Electronics,S005,280,480,600,120,Chennai,0.2,Active
